POBP,Countryname
1,United States of America
2,United States of America
4,United States of America
5,United States of America
6,United States of America
8,United States of America
9,United States of America
10,United States of America
11,United States of America
12,United States of America
13,United States of America
15,United States of America
16,United States of America
17,United States of America
18,United States of America
19,United States of America
20,United States of America
21,United States of America
22,United States of America
23,United States of America
24,United States of America
25,United States of America
26,United States of America
27,United States of America
28,United States of America
29,United States of America
30,United States of America
31,United States of America
32,United States of America
33,United States of America
34,United States of America
35,United States of America
36,United States of America
37,United States of America
38,United States of America
39,United States of America
40,United States of America
41,United States of America
42,United States of America
44,United States of America
45,United States of America
46,United States of America
47,United States of America
48,United States of America
49,United States of America
50,United States of America
51,United States of America
53,United States of America
54,United States of America
55,United States of America
56,United States of America
60,American Samoa
66,Guam
69,Commonwealth of the Northern Mariana Islands
72,Puerto Rico
78,US Virgin Islands
100,Albania
102,Austria
103,Belgium
104,Bulgaria
105,Czechoslovakia
106,Denmark
108,Finland
109,France
110,Germany
116,Greece
117,Hungary
118,Iceland
119,Ireland
120,Italy
126,Netherlands
127,Norway
128,Poland
129,Portugal
130,Azores Islands
132,Romania
134,Spain
136,Sweden
137,Switzerland
138,"United Kingdom, Not Specified"
139,England
140,Scotland
147,Yugoslavia
148,Czech Republic
149,Slovakia
150,Bosnia and Herzegovina
151,Croatia
152,Macedonia
154,Serbia
156,Latvia
157,Lithuania
158,Armenia
159,Azerbaijan
160,Belarus
161,Georgia
162,Moldova
163,Russia
164,Ukraine
165,USSR
168,Montenegro
169,"Other Europe, Not Specified"
200,Afghanistan
202,Bangladesh
203,Bhutan
205,Myanmar
206,Cambodia
207,China
208,Cyprus
209,Hong Kong
210,India
211,Indonesia
212,Iran
213,Iraq
214,Israel
215,Japan
216,Jordan
217,Korea
218,Kazakhstan
222,Kuwait
223,Laos
224,Lebanon
226,Malaysia
229,Nepal
231,Pakistan
233,Philippines
235,Saudi Arabia
236,Singapore
238,Sri Lanka
239,Syria
240,Taiwan
242,Thailand
243,Turkey
245,United Arab Emirates
246,Uzbekistan
247,Vietnam
248,Yemen
249,Asia
253,"South Central Asia, Not Specified"
254,"Other Asia, Not Specified"
300,Bermuda
301,Canada
303,Mexico
310,Belize
311,Costa Rica
312,El Salvador
313,Guatemala
314,Honduras
315,Nicaragua
316,Panama
321,Antigua & Barbuda
323,Bahamas
324,Barbados
327,Cuba
328,Dominica
329,Dominican Republic
330,Grenada
332,Haiti
333,Jamaica
339,St. Lucia
340,St. Vincent & the Grenadines
341,Trinidad & Tobago
343,West Indies
344,"Caribbean, Not Specified"
360,Argentina
361,Bolivia
362,Brazil
363,Chile
364,Colombia
365,Ecuador
368,Guyana
369,Paraguay
370,Peru
372,Uruguay
373,Venezuela
374,South America
399,"Americas, Not Specified"
400,Algeria
407,Cameroon
408,Cape Verde
412,Congo
414,Egypt
416,Ethiopia
417,Eritrea
420,Gambia
421,Ghana
423,Guinea
427,Kenya
429,Liberia
430,Libya
436,Morocco
440,Nigeria
444,Senegal
447,Sierra Leone
448,Somalia
449,South Africa
451,Sudan
453,Tanzania
454,Togo
457,Uganda
459,Democratic Republic of Congo (Zaire)
460,Zambia
461,Zimbabwe
462,Africa
463,"Eastern Africa, Not Specified"
464,"Northern Africa, Not Specified"
467,"Western Africa, Not Specified"
468,"Other Africa, Not Specified"
501,Australia
508,Fiji
511,Marshall Islands
512,Micronesia
515,New Zealand
523,Tonga
527,Samoa
554,"Other US Island Areas, Oceania, Not Specified, or at Sea"
